CaseID,FIRNumber,CrimeType,CrimeCategory,District,PoliceStation,Latitude,Longitude,Date,Time,Severity,Status,VictimID,SuspectID,Weapon,RepeatOffender,GangID,EstimatedLoss
2155,FIR-102154,Fraud,Financial Crime,Dakshina Kannada,Narasaraopet PS,12.849432018860384,74.87470132891184,2025-05-07,13:52:19,High,Chargesheet Filed,1756,1795,Blunt Object,False,97,418688
2156,FIR-102155,Theft,Property Crime,Dakshina Kannada,Noida PS,12.979784841725802,74.88979936058313,2024-09-26,23:19:11,High,Open,13768,2926,None,True,2,324850
2157,FIR-102156,Fraud,Financial Crime,Mysuru,Bahraich PS,12.281045741275685,76.69723936002168,2025-02-16,09:44:24,Low,Open,12441,6720,Blunt Object,True,18,229784
2158,FIR-102157,Drug Trafficking,Organized Crime,Bengaluru Urban,Ichalkaranji PS,12.911750096567738,77.64652634367341,2025-05-02,13:25:21,Low,Under Investigation,15674,3414,Unknown,True,93,19191
2159,FIR-102158,Burglary,Property Crime,Mysuru,Baranagar PS,12.30267417411113,76.70577831868046,2026-03-05,23:51:42,Low,Closed,6167,3365,Unknown,True,114,454619
2160,FIR-102159,Cyber Crime,Cyber Crime,Mysuru,Tinsukia PS,12.321905392863155,76.67664432189066,2026-06-10,12:07:32,High,Under Investigation,16078,3081,Unknown,True,155,153675
2161,FIR-102160,Murder,Violent Crime,Dakshina Kannada,Panvel PS,12.993223534698547,74.87563076922362,2025-01-20,19:44:28,Low,Closed,21508,1857,None,False,7,289192
2162,FIR-102161,Theft,Property Crime,Mysuru,Ajmer PS,12.33400271259935,76.57423135222002,2025-02-19,17:19:15,Low,Closed,11227,231,Gun,False,234,232445
2163,FIR-102162,Assault,Violent Crime,Bengaluru Urban,North Dumdum PS,12.969001702890107,77.65029859337685,2026-04-22,00:31:32,Medium,Under Investigation,3328,4999,Gun,True,87,115378
2164,FIR-102163,Kidnapping,Violent Crime,Mysuru,Munger PS,12.312196430379856,76.65456707104808,2026-07-16,16:00:38,Medium,Closed,16303,2152,Gun,True,161,80306
2165,FIR-102164,Kidnapping,Violent Crime,Bengaluru Urban,Sangli-Miraj & Kupwad PS,12.981771241584225,77.53914083230572,2024-09-08,07:05:36,Low,Closed,16673,1839,Knife,False,111,278891
2166,FIR-102165,Cyber Crime,Cyber Crime,Mysuru,Saharanpur PS,12.219959781981316,76.61332753772203,2025-08-16,17:51:37,High,Under Investigation,16084,969,Blunt Object,False,235,139230
2167,FIR-102166,Domestic Violence,Social Crime,Mysuru,Barasat PS,12.281959082252108,76.58435490134238,2026-01-12,16:53:15,Low,Open,16944,682,Gun,True,223,357639
2168,FIR-102167,Theft,Property Crime,Bengaluru Urban,Latur PS,12.947768887920969,77.59140386452638,2025-12-17,02:49:01,High,Chargesheet Filed,7433,7406,None,False,129,453764
2169,FIR-102168,Kidnapping,Violent Crime,Mysuru,Giridih PS,12.311365393046222,76.60127120041604,2025-06-01,07:51:15,Low,Open,8624,2764,Gun,True,29,328195
2170,FIR-102169,Murder,Violent Crime,Dakshina Kannada,Dehradun PS,12.930147291363829,74.84739010183866,2026-01-16,14:15:20,Medium,Chargesheet Filed,14929,7412,Knife,False,33,49728
2171,FIR-102170,Fraud,Financial Crime,Bengaluru Urban,Bulandshahr PS,12.903338252512997,77.63961535704853,2026-01-14,16:02:59,Low,Chargesheet Filed,22296,2495,Blunt Object,False,216,65038
2172,FIR-102171,Theft,Property Crime,Dakshina Kannada,Kota PS,12.980665528381996,74.88967046232644,2025-10-20,01:41:10,Low,Under Investigation,5222,5753,Knife,False,75,28055
2173,FIR-102172,Robbery,Property Crime,Dakshina Kannada,Korba PS,12.894001728107439,74.81447785991286,2024-08-23,15:38:45,Low,Open,666,1732,Gun,True,239,278181
2174,FIR-102173,Theft,Property Crime,Mysuru,Nashik PS,12.262922154328981,76.62219802603727,2024-12-06,08:48:16,Low,Open,4853,3818,None,True,22,257113
2175,FIR-102174,Fraud,Financial Crime,Bengaluru Urban,Gwalior PS,12.905935141155968,77.58179560134339,2026-05-16,07:15:43,Medium,Open,5336,3834,Blunt Object,False,41,434695
2176,FIR-102175,Fraud,Financial Crime,Mysuru,Latur PS,12.333097325995944,76.64828135312057,2025-05-26,04:30:39,Medium,Chargesheet Filed,21395,6530,Knife,True,101,65986
2177,FIR-102176,Kidnapping,Violent Crime,Mysuru,Medininagar PS,12.325237634680182,76.58309013680747,2024-11-14,08:19:02,Medium,Closed,18899,7820,Knife,False,235,114717
2178,FIR-102177,Kidnapping,Violent Crime,Bengaluru Urban,Gandhidham PS,13.002042870293847,77.52758322890747,2026-03-10,06:46:33,Low,Chargesheet Filed,18246,6159,Blunt Object,False,153,239253
2179,FIR-102178,Kidnapping,Violent Crime,Dakshina Kannada,Bihar Sharif PS,12.936648375574219,74.85371628980133,2026-01-06,11:12:55,High,Under Investigation,1213,5003,Unknown,False,172,427949
2180,FIR-102179,Cyber Crime,Cyber Crime,Bengaluru Urban,Dindigul PS,12.91261554860022,77.57017867764475,2026-02-14,15:37:51,Low,Chargesheet Filed,2398,2100,Knife,True,153,438420
2181,FIR-102180,Fraud,Financial Crime,Dakshina Kannada,Madurai PS,12.921081538774455,74.92996941155509,2026-06-11,21:46:55,High,Closed,14317,6124,Blunt Object,False,40,180098
2182,FIR-102181,Fraud,Financial Crime,Mysuru,Jehanabad PS,12.356956855791244,76.71388050364448,2025-11-19,01:55:39,Low,Open,22347,5255,Unknown,False,15,149609
2183,FIR-102182,Drug Trafficking,Organized Crime,Bengaluru Urban,Bongaigaon PS,12.90857875712497,77.55711143114614,2024-12-17,16:30:33,Medium,Closed,24449,713,None,False,183,65191
2184,FIR-102183,Murder,Violent Crime,Bengaluru Urban,Gwalior PS,12.928884101036926,77.5157509258213,2026-06-25,13:42:35,High,Closed,23311,4047,Knife,True,84,439088
2185,FIR-102184,Domestic Violence,Social Crime,Dakshina Kannada,Bidhannagar PS,12.918339939966435,74.82375314865276,2025-02-05,21:34:57,Medium,Chargesheet Filed,19095,5701,Gun,True,128,152262
2186,FIR-102185,Fraud,Financial Crime,Bengaluru Urban,Mahbubnagar PS,12.923071856433575,77.55062969748619,2026-02-25,09:24:13,High,Under Investigation,13461,4858,Knife,False,183,410533
2187,FIR-102186,Domestic Violence,Social Crime,Mysuru,Bhind PS,12.23144831932029,76.67838087056633,2025-05-09,19:35:18,Low,Closed,6032,7390,Blunt Object,False,60,377169
2188,FIR-102187,Cyber Crime,Cyber Crime,Bengaluru Urban,Jorhat PS,12.9984407557431,77.60961086023525,2026-01-22,13:59:17,Low,Open,10532,5993,Blunt Object,True,222,216195
2189,FIR-102188,Kidnapping,Violent Crime,Dakshina Kannada,Kolhapur PS,12.931278832913474,74.86227264165022,2026-05-08,11:27:32,Medium,Chargesheet Filed,18375,630,Unknown,True,104,42151
2190,FIR-102189,Cyber Crime,Cyber Crime,Dakshina Kannada,Nagaon PS,12.84467986213495,74.7861630673924,2025-12-29,22:36:13,High,Chargesheet Filed,1454,5652,Gun,False,13,457689
2191,FIR-102190,Burglary,Property Crime,Mysuru,Karnal PS,12.308798471617028,76.63083203034255,2025-05-05,08:10:18,High,Chargesheet Filed,13159,6243,Knife,False,157,162388
2192,FIR-102191,Assault,Violent Crime,Bengaluru Urban,Latur PS,12.987151015369964,77.6372801163378,2025-11-19,00:23:32,Medium,Under Investigation,6450,4770,Unknown,False,202,431523
2193,FIR-102192,Burglary,Property Crime,Mysuru,Jalna PS,12.36388679857629,76.56186210190577,2024-11-22,06:52:07,High,Under Investigation,18669,647,Gun,False,5,289558
2194,FIR-102193,Theft,Property Crime,Bengaluru Urban,Mumbai PS,12.97975195900067,77.53281279630731,2026-03-30,04:17:23,Low,Chargesheet Filed,13295,7205,Unknown,False,55,30431
2195,FIR-102194,Assault,Violent Crime,Mysuru,Vadodara PS,12.34128923358183,76.63944977065962,2025-08-24,16:55:26,Medium,Under Investigation,7983,6298,Knife,True,70,290733
2196,FIR-102195,Assault,Violent Crime,Mysuru,Delhi PS,12.297614849067097,76.56943704253793,2025-06-15,05:09:52,Low,Under Investigation,20351,5030,Blunt Object,True,102,231560
2197,FIR-102196,Drug Trafficking,Organized Crime,Dakshina Kannada,Gurgaon PS,12.939069046723121,74.87739778602483,2025-05-30,18:03:57,High,Closed,14082,4886,Gun,True,54,420269
2198,FIR-102197,Kidnapping,Violent Crime,Dakshina Kannada,Arrah PS,12.849116982154552,74.8991381576995,2025-12-12,12:07:16,High,Chargesheet Filed,23897,4096,Unknown,False,194,170258
2199,FIR-102198,Burglary,Property Crime,Bengaluru Urban,Noida PS,13.031541670715589,77.65717777675813,2025-03-07,19:56:24,Medium,Open,6018,3666,Blunt Object,False,247,38691
2200,FIR-102199,Robbery,Property Crime,Bengaluru Urban,Mirzapur PS,12.994338428693371,77.55655197752546,2026-06-08,10:56:06,Low,Under Investigation,3591,2235,Knife,True,171,137914
2201,FIR-102200,Murder,Violent Crime,Dakshina Kannada,Thiruvananthapuram PS,12.991907835838846,74.80386040115266,2025-11-05,02:06:27,High,Open,9028,5641,None,False,11,480568
2202,FIR-102201,Theft,Property Crime,Bengaluru Urban,Bokaro PS,12.986390144275715,77.60356369284818,2026-07-12,16:07:58,Medium,Under Investigation,9316,1754,Blunt Object,False,27,312146
2203,FIR-102202,Assault,Violent Crime,Dakshina Kannada,Guna PS,12.878396803934109,74.92644199428962,2025-06-07,19:55:16,High,Under Investigation,6076,757,Unknown,True,52,135752
2204,FIR-102203,Fraud,Financial Crime,Bengaluru Urban,Mehsana PS,12.933538488131452,77.56038198655492,2025-04-13,01:02:30,Medium,Closed,1137,4314,Knife,True,45,299082
2205,FIR-102204,Burglary,Property Crime,Bengaluru Urban,Rourkela PS,12.974220129123768,77.65962567912824,2024-10-09,21:38:28,High,Open,8263,2935,Unknown,False,134,388841
2206,FIR-102205,Burglary,Property Crime,Mysuru,Berhampore PS,12.303067571057731,76.58067532271123,2026-01-06,18:31:54,Low,Closed,18579,2197,Gun,True,153,66532
2207,FIR-102206,Kidnapping,Violent Crime,Bengaluru Urban,Surat PS,12.967035038259095,77.55472220403566,2025-03-24,03:41:04,High,Open,6136,1660,Blunt Object,True,40,22707
2208,FIR-102207,Kidnapping,Violent Crime,Bengaluru Urban,Rohtak PS,12.973481842243428,77.60770547965001,2025-12-19,06:48:56,Medium,Open,850,879,Unknown,True,93,30848
2209,FIR-102208,Robbery,Property Crime,Dakshina Kannada,Chittoor PS,12.941857099101474,74.91428565813644,2025-07-10,21:24:57,High,Open,23638,6908,None,False,129,423327
2210,FIR-102209,Burglary,Property Crime,Bengaluru Urban,Tiruppur PS,12.982040964663518,77.53562476947894,2025-12-29,08:33:21,Medium,Open,3017,7169,None,False,23,159178
2211,FIR-102210,Fraud,Financial Crime,Mysuru,Tiruvottiyur PS,12.337930036129702,76.56722033598822,2026-07-06,14:52:40,High,Under Investigation,17693,6643,Gun,True,157,396603
2212,FIR-102211,Fraud,Financial Crime,Dakshina Kannada,Allahabad PS,12.969855616178442,74.90936629834135,2024-12-13,05:11:35,High,Open,17004,893,None,False,205,211913
2213,FIR-102212,Domestic Violence,Social Crime,Bengaluru Urban,Aurangabad PS,12.957217068570548,77.67090130307122,2025-05-15,17:19:25,Low,Open,22607,7245,Unknown,False,237,276630
2214,FIR-102213,Cyber Crime,Cyber Crime,Dakshina Kannada,Tiruvottiyur PS,12.96596000070746,74.78280348827916,2026-02-26,13:20:00,Low,Closed,24274,989,Blunt Object,True,149,455314
2215,FIR-102214,Assault,Violent Crime,Mysuru,Raiganj PS,12.258516667323521,76.65849156159203,2026-01-22,14:46:13,High,Chargesheet Filed,19211,5802,Unknown,False,238,274388
2216,FIR-102215,Fraud,Financial Crime,Mysuru,Amritsar PS,12.28094420311282,76.56053918713427,2024-12-29,19:45:19,Low,Under Investigation,9413,7480,Gun,False,137,312058
2217,FIR-102216,Fraud,Financial Crime,Mysuru,Tenali PS,12.322836710025053,76.60884157601522,2025-07-31,13:40:04,Medium,Open,11428,139,Unknown,False,118,412325
2218,FIR-102217,Assault,Violent Crime,Bengaluru Urban,Malegaon PS,12.96945666348084,77.59148323798247,2025-03-11,10:47:54,Low,Under Investigation,21028,3101,Gun,True,129,291843
2219,FIR-102218,Burglary,Property Crime,Mysuru,Tiruchirappalli PS,12.312972306661212,76.71649923823573,2026-02-18,18:25:01,High,Open,7403,6937,None,True,79,61909
2220,FIR-102219,Cyber Crime,Cyber Crime,Bengaluru Urban,Phagwara PS,12.95943386240915,77.61788849655483,2025-07-04,22:59:48,Low,Closed,7052,446,Gun,False,163,227598
2221,FIR-102220,Assault,Violent Crime,Dakshina Kannada,Shimla PS,12.90931059627221,74.84300842456653,2026-06-22,01:17:37,High,Open,3911,1440,Knife,False,83,439073
2222,FIR-102221,Assault,Violent Crime,Mysuru,Jalgaon PS,12.35121652941959,76.67587725806278,2026-04-03,13:12:52,High,Closed,16068,3229,Gun,True,237,67644
2223,FIR-102222,Fraud,Financial Crime,Dakshina Kannada,Sagar PS,12.983627745376822,74.93308136421373,2026-05-30,00:32:34,Low,Closed,19715,3350,Unknown,True,131,492261
2224,FIR-102223,Domestic Violence,Social Crime,Bengaluru Urban,Vellore PS,13.011915177155412,77.54408896726359,2026-06-28,00:15:22,Medium,Chargesheet Filed,4020,7485,Unknown,True,145,341178
2225,FIR-102224,Drug Trafficking,Organized Crime,Dakshina Kannada,Narasaraopet PS,12.894152766877527,74.81824351912725,2024-08-21,17:08:48,Medium,Chargesheet Filed,1184,3527,Gun,False,149,218257
2226,FIR-102225,Murder,Violent Crime,Dakshina Kannada,Hazaribagh PS,12.865202288069376,74.92679892119195,2026-07-14,06:27:33,Medium,Closed,13267,1156,Gun,True,189,154825
2227,FIR-102226,Assault,Violent Crime,Mysuru,Tirupati PS,12.356797298457781,76.5676343444461,2025-11-18,15:16:34,High,Under Investigation,8786,1558,Gun,True,136,239665
2228,FIR-102227,Fraud,Financial Crime,Bengaluru Urban,Chandigarh PS,12.956676785981397,77.53530941358822,2025-12-21,05:58:52,High,Under Investigation,24026,7388,Knife,False,18,261860
2229,FIR-102228,Murder,Violent Crime,Bengaluru Urban,Mahbubnagar PS,13.028247983836486,77.53472081406983,2024-09-18,17:06:07,High,Open,20378,7281,Knife,True,168,169866
2230,FIR-102229,Burglary,Property Crime,Bengaluru Urban,Tirupati PS,12.93826713033682,77.57088421553952,2025-01-05,15:20:24,Low,Closed,7842,6174,Knife,False,192,376626
2231,FIR-102230,Kidnapping,Violent Crime,Mysuru,Asansol PS,12.32897427733299,76.57614474633182,2025-09-07,05:02:39,Medium,Chargesheet Filed,4582,3750,Unknown,False,229,203309
2232,FIR-102231,Murder,Violent Crime,Dakshina Kannada,Kollam PS,12.944345378156164,74.80935582050597,2025-12-11,04:24:52,High,Open,17438,3596,Unknown,True,211,493413
2233,FIR-102232,Murder,Violent Crime,Bengaluru Urban,Mau PS,12.956444976990367,77.65968577486785,2025-03-20,05:00:36,Low,Under Investigation,7290,891,Knife,True,63,303479
2234,FIR-102233,Domestic Violence,Social Crime,Dakshina Kannada,Erode PS,12.87699161791951,74.82864188720256,2025-08-03,05:03:51,Low,Closed,14285,1005,Knife,False,105,83359
2235,FIR-102234,Cyber Crime,Cyber Crime,Bengaluru Urban,Karimnagar PS,13.013655277676847,77.55854353520235,2025-01-08,05:23:27,Medium,Open,14688,7598,Gun,True,154,329452
2236,FIR-102235,Burglary,Property Crime,Dakshina Kannada,Cuttack PS,12.839067250576855,74.78028382871273,2025-09-19,04:06:53,Low,Under Investigation,8486,2421,Unknown,False,173,347959
2237,FIR-102236,Cyber Crime,Cyber Crime,Dakshina Kannada,Danapur PS,12.893043039004516,74.79544277433692,2025-02-21,10:00:52,High,Closed,8051,1070,Knife,False,27,281201
2238,FIR-102237,Domestic Violence,Social Crime,Mysuru,Rajkot PS,12.310776449826653,76.65203669526501,2025-12-31,16:13:05,High,Open,2753,7886,None,True,85,125017
2239,FIR-102238,Assault,Violent Crime,Dakshina Kannada,Tadepalligudem PS,12.886495489815717,74.82492475658358,2025-01-15,10:09:14,Low,Open,3835,4385,Unknown,False,106,449987
2240,FIR-102239,Cyber Crime,Cyber Crime,Mysuru,Shahjahanpur PS,12.22750263294288,76.62178925093905,2025-04-18,07:05:55,Low,Open,15725,4624,None,False,41,444523
2241,FIR-102240,Domestic Violence,Social Crime,Bengaluru Urban,Gwalior PS,12.923484450692072,77.55559856333456,2025-12-23,01:38:37,Low,Under Investigation,18691,1439,Unknown,True,32,405081
2242,FIR-102241,Murder,Violent Crime,Dakshina Kannada,Begusarai PS,12.9477093540648,74.90461646761098,2026-01-20,08:57:11,Medium,Chargesheet Filed,20268,6707,Blunt Object,False,21,206086
2243,FIR-102242,Assault,Violent Crime,Bengaluru Urban,Navi Mumbai PS,13.048541457519663,77.53410915116588,2025-09-30,07:29:44,Low,Under Investigation,14839,2817,Knife,True,63,335056
2244,FIR-102243,Domestic Violence,Social Crime,Mysuru,Chapra PS,12.313255685229691,76.58356549130659,2026-07-07,12:26:38,High,Under Investigation,23887,7629,Gun,False,56,171689
2245,FIR-102244,Drug Trafficking,Organized Crime,Bengaluru Urban,Raichur PS,13.050350654702903,77.53452219563745,2025-09-02,19:14:23,Low,Closed,10963,3123,Unknown,True,129,380670
2246,FIR-102245,Theft,Property Crime,Bengaluru Urban,Udaipur PS,12.902050524792264,77.67007082038778,2024-11-25,07:13:00,High,Open,11121,5189,None,False,217,308655
2247,FIR-102246,Theft,Property Crime,Dakshina Kannada,Dehradun PS,12.922655071218365,74.9259391785348,2024-10-16,21:46:02,High,Open,16646,4368,Unknown,True,200,332265
2248,FIR-102247,Cyber Crime,Cyber Crime,Mysuru,Tiruchirappalli PS,12.22795184202336,76.57282600449156,2025-02-12,12:16:29,Medium,Chargesheet Filed,3897,6537,None,False,215,91533
2249,FIR-102248,Burglary,Property Crime,Bengaluru Urban,Siliguri PS,12.930183991522796,77.60578120126051,2026-05-23,23:26:23,Low,Under Investigation,18710,3790,Gun,False,248,218437
2250,FIR-102249,Murder,Violent Crime,Mysuru,Haridwar PS,12.273616132069135,76.67837002718024,2025-03-30,21:41:06,High,Chargesheet Filed,24993,5835,Gun,True,33,328042
2251,FIR-102250,Fraud,Financial Crime,Dakshina Kannada,Aurangabad PS,12.887864086439237,74.91463865102747,2026-03-13,08:33:52,Low,Under Investigation,14352,2326,None,False,105,116929
2252,FIR-102251,Domestic Violence,Social Crime,Mysuru,Howrah PS,12.277254704009726,76.68324364644398,2026-07-04,11:56:27,High,Chargesheet Filed,24068,350,Gun,False,187,182313
2253,FIR-102252,Domestic Violence,Social Crime,Bengaluru Urban,Secunderabad PS,12.944952831915463,77.56069401889518,2024-08-04,13:59:03,Medium,Closed,8542,5663,None,False,110,401785
2254,FIR-102253,Murder,Violent Crime,Dakshina Kannada,Katihar PS,12.903262927300611,74.92820788363638,2026-07-18,14:37:07,High,Under Investigation,6737,2241,Gun,True,211,444250
2255,FIR-102254,Domestic Violence,Social Crime,Bengaluru Urban,Bareilly PS,12.921749872905496,77.59381834792264,2024-11-06,08:01:55,Low,Open,4262,5945,None,False,78,269510
2256,FIR-102255,Robbery,Property Crime,Mysuru,Baranagar PS,12.254726763073817,76.60194569157659,2026-06-28,22:21:15,High,Closed,1359,2932,Gun,True,1,94080
2257,FIR-102256,Drug Trafficking,Organized Crime,Dakshina Kannada,Bhimavaram PS,12.963016683638992,74.84781675427014,2024-09-12,12:46:39,High,Under Investigation,1892,4714,Knife,True,103,24297
2258,FIR-102257,Murder,Violent Crime,Mysuru,Berhampur PS,12.287571027654637,76.62338500742732,2025-12-09,10:50:40,High,Under Investigation,12183,4289,Unknown,False,195,300910
2259,FIR-102258,Robbery,Property Crime,Mysuru,Solapur PS,12.348194682800973,76.70896100123043,2025-08-13,12:37:34,Low,Chargesheet Filed,15532,7383,Knife,False,210,448910
2260,FIR-102259,Burglary,Property Crime,Bengaluru Urban,Siwan PS,12.969392447659366,77.67152100800392,2026-01-19,22:47:04,Medium,Chargesheet Filed,21215,6502,Gun,True,192,24746
2261,FIR-102260,Cyber Crime,Cyber Crime,Mysuru,Sambalpur PS,12.348442798042543,76.70292415283014,2025-05-25,10:53:12,Low,Chargesheet Filed,5267,4468,Gun,False,59,442831
2262,FIR-102261,Cyber Crime,Cyber Crime,Bengaluru Urban,Indore PS,12.932561997133263,77.54727807089813,2025-11-03,06:38:07,Medium,Chargesheet Filed,4501,1925,Knife,True,55,299432
2263,FIR-102262,Fraud,Financial Crime,Dakshina Kannada,Junagadh PS,12.992099689821336,74.78574187720433,2025-07-03,15:59:06,Low,Chargesheet Filed,10763,3892,Blunt Object,True,69,238547
2264,FIR-102263,Fraud,Financial Crime,Mysuru,Amritsar PS,12.318042924528745,76.63867600195353,2025-07-03,12:41:51,Low,Closed,391,3283,Knife,True,128,344369
2265,FIR-102264,Domestic Violence,Social Crime,Mysuru,Bhatpara PS,12.243722204007474,76.70337648299606,2025-01-25,10:04:51,Medium,Under Investigation,7328,2110,Unknown,True,193,172109
2266,FIR-102265,Robbery,Property Crime,Bengaluru Urban,Gandhidham PS,13.019963461554573,77.6274814725201,2024-08-20,01:04:49,Low,Closed,13596,1831,Blunt Object,True,177,121012
2267,FIR-102266,Kidnapping,Violent Crime,Mysuru,Adoni PS,12.23703029058021,76.69793080659626,2025-08-29,20:14:26,High,Chargesheet Filed,6613,4265,None,False,142,181596
2268,FIR-102267,Domestic Violence,Social Crime,Mysuru,Sasaram PS,12.235971639046216,76.68269292448522,2024-08-15,15:11:10,Medium,Chargesheet Filed,2950,6057,None,True,27,487894
2269,FIR-102268,Drug Trafficking,Organized Crime,Dakshina Kannada,Coimbatore PS,12.974005018519051,74.77797626626705,2026-02-20,22:51:40,Low,Under Investigation,18472,7631,None,False,51,361030
2270,FIR-102269,Domestic Violence,Social Crime,Bengaluru Urban,Hospet PS,13.009078676934154,77.6217348973694,2026-05-22,19:14:57,Medium,Chargesheet Filed,19298,3907,Gun,False,65,295055
2271,FIR-102270,Robbery,Property Crime,Dakshina Kannada,Kishanganj PS,12.979921074380877,74.89135201026563,2025-11-03,09:41:32,Low,Under Investigation,13585,6917,Unknown,False,82,404611
2272,FIR-102271,Drug Trafficking,Organized Crime,Bengaluru Urban,Malda PS,13.039436244685465,77.58329358054276,2025-07-25,07:37:12,Medium,Chargesheet Filed,20578,3242,Unknown,False,196,349327
2273,FIR-102272,Drug Trafficking,Organized Crime,Mysuru,Tirupati PS,12.238770302049241,76.63442832944068,2026-01-10,21:39:56,High,Chargesheet Filed,7276,4281,Blunt Object,False,124,182181
2274,FIR-102273,Murder,Violent Crime,Mysuru,Raichur PS,12.374250883964548,76.62521953825446,2026-03-04,21:36:53,High,Closed,6008,3039,Gun,False,101,98754
2275,FIR-102274,Drug Trafficking,Organized Crime,Bengaluru Urban,Gopalpur PS,12.953048603133938,77.59763863539366,2025-05-18,01:10:15,High,Open,12578,3075,Knife,True,111,485275
2276,FIR-102275,Robbery,Property Crime,Dakshina Kannada,Tadipatri PS,12.966901974159265,74.88227622405508,2026-03-27,21:49:53,Low,Under Investigation,21609,5821,None,False,218,327943
2277,FIR-102276,Domestic Violence,Social Crime,Bengaluru Urban,Gangtok PS,12.975045951541192,77.52668735994762,2024-08-06,21:48:09,Low,Open,12280,2494,None,False,103,4020
2278,FIR-102277,Robbery,Property Crime,Bengaluru Urban,Bhilwara PS,12.92111509418688,77.5732355579254,2025-09-01,15:09:45,Medium,Open,21500,3755,None,False,44,256455
2279,FIR-102278,Murder,Violent Crime,Bengaluru Urban,Kottayam PS,13.041331682082484,77.66494638423802,2024-08-23,00:14:27,High,Chargesheet Filed,15646,5979,Unknown,False,120,274656
2280,FIR-102279,Drug Trafficking,Organized Crime,Mysuru,Aurangabad PS,12.297010965310843,76.70176051112215,2026-03-04,01:00:31,Low,Closed,4971,314,Gun,False,39,280719
2281,FIR-102280,Burglary,Property Crime,Mysuru,Asansol PS,12.243760293261813,76.6772004597263,2025-04-25,05:44:53,High,Chargesheet Filed,13951,1612,None,False,103,362860
2282,FIR-102281,Fraud,Financial Crime,Dakshina Kannada,Medininagar PS,12.842540464765328,74.9068620552528,2026-03-04,12:31:02,Medium,Chargesheet Filed,17140,5144,Gun,True,76,283601
2283,FIR-102282,Domestic Violence,Social Crime,Bengaluru Urban,Kolhapur PS,13.017683563376897,77.61876994537093,2024-11-25,06:50:25,Medium,Closed,1443,761,Gun,False,164,127831
2284,FIR-102283,Theft,Property Crime,Mysuru,Saharsa PS,12.308429992953428,76.64456052998224,2026-07-19,13:11:10,Medium,Open,2163,821,Gun,False,14,446536
2285,FIR-102284,Assault,Violent Crime,Bengaluru Urban,Sagar PS,13.029964117030929,77.61329834159352,2025-07-27,10:39:55,High,Chargesheet Filed,17323,5467,None,True,91,453498
2286,FIR-102285,Fraud,Financial Crime,Mysuru,Bhalswa Jahangir Pur PS,12.347990127236718,76.68084381493526,2026-04-07,17:32:15,Medium,Closed,19695,1327,Gun,False,119,326991
2287,FIR-102286,Cyber Crime,Cyber Crime,Mysuru,Kulti PS,12.341901216235494,76.56170167212451,2025-05-01,03:18:57,Low,Under Investigation,1910,5989,Gun,True,133,478514
2288,FIR-102287,Drug Trafficking,Organized Crime,Bengaluru Urban,Hindupur PS,13.044357954362244,77.52417875735695,2025-02-27,19:53:27,Medium,Closed,6463,3649,Unknown,True,135,60183
2289,FIR-102288,Burglary,Property Crime,Dakshina Kannada,Siwan PS,12.95556084062884,74.89321673861778,2025-03-03,13:33:24,Medium,Chargesheet Filed,9737,5867,Gun,True,10,25284
2290,FIR-102289,Domestic Violence,Social Crime,Mysuru,Saharanpur PS,12.272028015483926,76.68968115561368,2025-09-24,02:31:23,High,Open,9268,6568,Unknown,False,131,101574
2291,FIR-102290,Murder,Violent Crime,Dakshina Kannada,Hazaribagh PS,12.864840543925174,74.83957500901863,2026-06-28,18:01:19,Low,Open,22836,3373,Knife,True,5,43186
2292,FIR-102291,Murder,Violent Crime,Bengaluru Urban,Vellore PS,13.011921238522508,77.53320492746874,2025-10-01,17:51:31,Medium,Under Investigation,10313,767,Unknown,True,113,263394
2293,FIR-102292,Robbery,Property Crime,Dakshina Kannada,Suryapet PS,12.849702726772183,74.81590506657437,2026-01-08,12:23:52,Low,Open,24434,184,Gun,True,33,202678
2294,FIR-102293,Kidnapping,Violent Crime,Mysuru,Tinsukia PS,12.29917999825571,76.56841084691128,2025-04-25,18:36:32,Medium,Closed,18048,1652,Blunt Object,False,209,453104
2295,FIR-102294,Drug Trafficking,Organized Crime,Dakshina Kannada,Singrauli PS,12.921905992782339,74.91299981986404,2025-05-31,22:37:34,Medium,Open,11481,7672,Gun,False,148,401994
2296,FIR-102295,Murder,Violent Crime,Bengaluru Urban,Tenali PS,12.939780641734126,77.58045995234275,2024-12-13,18:39:16,Low,Chargesheet Filed,13175,1650,Blunt Object,True,243,372441
2297,FIR-102296,Murder,Violent Crime,Mysuru,Gudivada PS,12.312314019794167,76.5814587853448,2025-08-29,07:28:21,Medium,Under Investigation,22692,5026,Knife,False,214,145229
2298,FIR-102297,Cyber Crime,Cyber Crime,Dakshina Kannada,Warangal PS,12.981703617330895,74.88038729697234,2025-03-28,20:51:48,Low,Closed,5044,1844,Unknown,True,59,152698
2299,FIR-102298,Kidnapping,Violent Crime,Dakshina Kannada,Erode PS,12.917904566218596,74.88811415061916,2026-01-18,21:13:46,Medium,Closed,982,7097,Knife,True,86,159543
2300,FIR-102299,Cyber Crime,Cyber Crime,Bengaluru Urban,Tenali PS,13.037273635712678,77.52039071980268,2024-09-19,18:58:32,High,Under Investigation,9862,1907,Blunt Object,False,122,329271
